WORD,POS_TAG,COUNT
결과,NNG,4058
깨,VV,2528
별,NNG,586
사장,NNG,3998
노력,NNG,2353
계시,VV,2218
마트,NNG,2653
일곱,NR,1640
쟤,NP,719
어차피,MAG,3258
지하철,NNG,2877
대화,NNG,3405
추천하,VV,3791
녹,VV,1594
공간,NNG,4033
추석,NNG,2655
부족하,VA,3566
별,MMA,2946
자세,NNG,4707
식사,NNG,3074
는대,EF,2208
그분,NP,2505
크리스마스,NNG,2628
마찬가지,NNG,3214
현실,NNG,3552
점,NNB,1971
딱딱하,VA,508
돌아오,VV,2393
뜻,NNG,3835
정리,NNG,3557
이해,NNG,3051
여성,NNG,3943
휴게소,NNG,3133
유럽,NNP,3612
원하,VV,3603
시절,NNG,3641
요가,NNG,2862
손가락,NNG,959
기름,NNG,2666
는다는,ETM,4172
가게,NNG,2514
놀리,VV,996
이해하,VV,4033
슬프,VA,711
괜히,MAG,3707
운전하,VV,1841
본인,NNG,1578
는다고,EC,2726
만큼,JKB,2550
피,NNG,1575
우산,NNG,1124
수학,NNG,1022
비하,VV,3715
종이,NNG,882
주자,NNG,5142
가져오,VV,1310
차갑,VA,1758
주사,NNG,778
정상,NNG,1881
기본,NNG,3653
수영장,NNG,357
아무,NP,1805
지렁이,NNG,8
묶,VV,1124
되,XSV,2909
이르,VV,970
으라고,EC,788
교회,NNG,598
차리,VV,3492
ㅂ니까,EF,3636
시작,NNG,2405
낮,VA,4037
영상,NNG,2587
사십,NR,2367
넘어가,VV,2670
여덟,NR,1191
과학,NNG,3165
치료,NNG,3332
부부,NNG,2225
시,NNG,2031
요,EC,3657
부담,NNG,3439
실제로,MAG,2706
저렇,VA,1136
이불,NNG,756
완전히,MAG,2132
서,JKS,2664
날아가,VV,855
이야,JX,3723
떡,NNG,1244
짝꿍,NNG,449
대,VV,1972
키로,NNB,2229
늘,VV,2924
을게,EF,537
토요일,NNG,463
꾸,VV,1746
남기,VV,2270
책상,NNG,1198
활용하,VV,4322
빌리,VV,1342
떨리,VV,1313
저번,NNG,437
익숙하,VA,4019
ㄹ수록,EC,3543
치킨,NNG,483
맘,NNG,3092
연애,NNG,3682
기업,NNG,3907
돼지,NNG,541
곧,MAG,2918
바닷가,NNG,1041
만큼,NNB,2541
엉덩이,NNG,2272
햇빛,NNG,1720
감,VV,985
지방,NNG,2516
심심하,VA,1442
은가,EF,1699
그나저나,MAG,4673
목소리,NNG,2812
어린이,NNG,1136
상품,NNG,3840
아홉,NR,2004
잊,VV,2964
카레,NNG,3260
국물,NNG,2548
확실히,MAG,2819
천천히,MAG,962
도시락,NNG,912
털,NNG,1461
그만큼,MAG,2784
짧,VA,2446
역사,NNG,3087
프로,NNG,2463
순간,NNG,3436
주인,NNG,2447
풀리,VV,2768
권,NNB,865
아무것,NP,4553
심,VV,804
얼른,MAG,3134
틀리,VV,1826
전부,MAG,1645
경기,NNG,2179
소금,NNG,2828
도착하,VV,1589
고장,NNG,948
앱,NNG,4570
일요일,NNG,363
흘리,VV,1524
당하,VV,3195
검사,NNG,1947
교육,NNG,2859
땀,NNG,1836
춤,NNG,1034
주택,NNG,3443
간지럽,VA,26
침,NNG,1174
터지,VV,1557
당시,NNG,1867
확,MAG,3529
라도,EC,3776
걸,VV,1767
대박,NNG,4599
알,NNG,673
소원,NNG,1254
느라,EC,3727
건너,VV,898
백설공주,NNP,6
연습,NNG,730
다니,EC,4394
먹지,NNG,4573
깜짝,MAG,959
이후,NNG,3446
쌓이,VV,1933
청소,NNG,1520
해외,NNG,2758
장,NNG,2122
거북이,NNG,652
걱정하,VV,2204
치우,VV,1627
너무너무,MAG,1945
용기,NNG,3820
께,JKB,2182
껍질,NNG,1438
취미,NNG,2643
씹,VV,504
그리,MAG,3785
시어머니,NNG,3457
사라지,VV,3380
새벽,NNG,3013
잘못하,VV,1714
장난,NNG,3050
유행,NNG,3954
가만히,MAG,1243
숨,VV,1162
보관하,VV,4200
태권도,NNG,189
오래되,VA,2436
마르,VV,1269
에이,IC,4098
딸기,NNG,561
퍼센트,NNB,4194
짜증,NNG,2380
빌려주,VV,138
도로,NNG,2325
양말,NNG,324
구하,VV,1997
근처,NNG,2422
똥,NNG,312
어우,IC,3575
잡히,VV,2646
양,NNG,1874
바나나,NNG,637
주인공,NNG,1813
노란색,NNG,196
쓰레기,NNG,898
지우,VV,2978
해,NNG,1844
깨지,VV,2258
꾸준히,MAG,2615
맥주,NNG,3492
내년,NNG,2036
쫌,MAG,323
캐,VV,130
듯이,EC,1728
갈,VV,1064
접,VV,70
냐면,EC,185
휴지,NNG,474
늘어나,VV,3289
똑같이,MAG,819
먹이,VV,1333
짜리,XSN,1031
아이고,IC,2812
다더라,EF,3756
역할,NNG,2841
깔,VV,2515
기,NNG,2668
육십,NR,1316
살짝,MAG,2365
지구,NNG,1357
계단,NNG,1287
의자,NNG,1836
바라,VV,3182
입맛,NNG,2871
중간,NNG,1212
칠십,NR,1987
지,NP,1582
봄,NNG,745
들이,NNG,4227
하여튼,MAG,432
로봇,NNG,979
새,NNG,108
충분히,MAG,2485
그다음,NNG,383
며느리,NNG,2295
엄청나,VA,3079
습니까,EF,2892
기능,NNG,3403
오이,NNG,486
느냐,EF,2769
흔들,VV,1199
평소,NNG,2583
이쁘,VA,2561
떼,VV,1287
착하,VA,501
차라리,MAG,2498
따라가,VV,1020
수,NNG,3250
잊어버리,VV,1894
팔십,NR,1984
호텔,NNG,2608
스포츠,NNG,1088
선택하,VV,3008
숨,NNG,973
커지,VV,1828
미술,NNG,731
쓰기,NNG,4016
먼지,NNG,1471
가까이,MAG,493
어깨,NNG,2149
코끼리,NNG,227
맛집,NNG,3281
숫자,NNG,2234
토마토,NNG,845
밀,VV,304
주스,NNG,77
셋,NR,775
배달,NNG,3405
